Student_ID,Semester,Previous_Exam_Marks,Internal_Test_Marks,Assignment_Score,Quiz_Score,Attendance_Percentage,Class_Participation,Average,Improvement,Predicted_Category,Next_Year_Category
S0012,5,81,89.6,79.7,79.4,94.2,69.9,82.3,8.6,Fast Learner,Fast Learner
S0012,6,77.3,91.7,72.6,88,98,93.7,86.88,14.4,Fast Learner,Fast Learner
S0013,1,64.1,67.9,69.1,61.7,60.4,58.3,63.58,3.8,Average Learner,Average Learner
S0013,2,59.1,67,63.4,68.2,58.7,60.7,62.85,7.9,Average Learner,Average Learner
S0013,3,60.3,61.6,69.6,61.8,65.7,58,62.83,1.3,Average Learner,Average Learner
S0013,4,53.6,69.9,56,57.2,50.3,61.3,58.05,16.3,Average Learner,Fast Learner
S0013,5,52.7,55.6,65.3,62.3,58.5,54.3,58.12,2.9,Average Learner,Average Learner
S0013,6,68.5,59.5,64.4,73.8,52.2,55.1,62.25,-9,Average Learner,Average Learner
S0014,1,94.7,98.7,94.6,70,89.1,71.5,86.43,4,Fast Learner,Fast Learner
S0014,2,71.2,86.3,90.2,74.6,79.5,81.7,80.58,15.1,Fast Learner,Fast Learner
S0014,3,98.9,92,90.9,82.7,88.9,68.5,86.98,-6.9,Fast Learner,Fast Learner
S0014,4,49.5,61.2,49.2,46.5,58.4,54.3,53.18,11.7,Average Learner,Fast Learner
S0014,5,62.7,69.7,64.4,59.8,65.7,56.3,63.1,7,Average Learner,Average Learner
S0014,6,73.1,96.7,68.8,81.8,68.6,83,78.67,23.6,Fast Learner,Fast Learner
S0015,1,80.2,85.5,81.4,70.2,81.6,93.8,82.12,5.3,Fast Learner,Fast Learner
S0015,2,71.1,93.8,88.2,93.9,89.7,86.9,87.27,22.7,Fast Learner,Fast Learner
S0015,3,71.3,76.2,96,84,81.2,78.8,81.25,4.9,Fast Learner,Fast Learner
S0015,4,81.1,100,87.7,75,88.1,74.7,84.43,18.9,Fast Learner,Fast Learner
S0015,5,77.4,96,79.4,96.4,91.5,73.7,85.73,18.6,Fast Learner,Fast Learner
S0015,6,99,73.7,95.9,76,94.6,90.3,88.25,-25.3,Fast Learner,Fast Learner
S0016,1,91.3,97.2,74,87.8,88,80.6,86.48,5.9,Fast Learner,Fast Learner
S0016,2,68.9,94.6,88.6,71.8,88.5,85.2,82.93,25.7,Fast Learner,Fast Learner
S0016,3,81.1,84.1,86.8,88.8,83,87.9,85.28,3,Fast Learner,Fast Learner
S0016,4,88.4,93.2,83,99,70.6,67.8,83.67,4.8,Fast Learner,Fast Learner
S0016,5,53.4,66.3,67,71.8,47.9,70,62.73,12.9,Average Learner,Fast Learner
S0016,6,64.9,71,53.5,69.8,47.8,50.2,59.53,6.1,Average Learner,Average Learner
S0017,1,66.4,68.3,62.7,50.1,59.7,49.9,59.52,1.9,Average Learner,Average Learner
S0017,2,55.7,51.8,56.5,49.7,65.4,70.7,58.3,-3.9,Average Learner,Average Learner
S0017,3,63.9,50.7,51.8,57.2,57,52.7,55.55,-13.2,Average Learner,Average Learner
S0017,4,51.6,65.2,71.5,62.2,57,64.1,61.93,13.6,Average Learner,Fast Learner
S0017,5,64.5,52.1,66.5,66.6,67.3,60.2,62.87,-12.4,Average Learner,Average Learner
S0017,6,60.9,48.2,67,53.5,49.6,57.9,56.18,-12.7,Average Learner,Average Learner
S0018,1,92.2,79.5,73.1,80.8,78.1,95.3,83.17,-12.7,Fast Learner,Fast Learner
S0018,2,91.7,97.7,83,96.8,82,99.9,91.85,6,Fast Learner,Fast Learner
S0018,3,76,90.4,88.1,100,93.5,96.4,90.73,14.4,Fast Learner,Fast Learner
S0018,4,98.1,82.9,84.3,83.3,77.8,82.7,84.85,-15.2,Fast Learner,Fast Learner
S0018,5,88.7,82.4,97.1,77.6,89.4,88.9,87.35,-6.3,Fast Learner,Fast Learner
S0018,6,89.5,76.1,95.6,80.2,78.7,71.2,81.88,-13.4,Fast Learner,Fast Learner
S0019,1,20.6,24,33.2,35.8,32.9,37,30.58,3.4,Slow Learner,Slow Learner
S0019,2,21.6,36.2,50.9,38.9,39.9,27.7,35.87,14.6,Slow Learner,Average Learner
S0019,3,67.5,50.2,53.8,46,54.1,67.3,56.48,-17.3,Average Learner,Average Learner
S0019,4,88.6,88.3,95.9,90.3,79.2,76.1,86.4,-0.3,Fast Learner,Fast Learner
S0019,5,90.8,87.8,100,75.8,87,90.1,88.58,-3,Fast Learner,Fast Learner
S0019,6,66.7,56.2,56.1,73.7,59.9,70.8,63.9,-10.5,Average Learner,Average Learner
S0020,1,21.9,42.1,42.1,49.8,35.9,27.4,36.53,20.2,Slow Learner,Average Learner
S0020,2,33.9,31.7,45.6,31.6,48.8,50.6,40.37,-2.2,Slow Learner,Slow Learner
S0020,3,47.8,34.9,49.5,39.7,25,51.8,41.45,-12.9,Slow Learner,Slow Learner
S0020,4,49.1,34.4,24.7,36.3,50.5,24.9,36.65,-14.7,Slow Learner,Slow Learner
S0020,5,31.7,49.2,50.7,33.9,49.5,46,43.5,17.5,Slow Learner,Average Learner
S0020,6,60.3,69.5,65.3,57.1,62.7,66.1,63.5,9.2,Average Learner,Fast Learner
S0021,1,57.7,69.5,48,69.6,51.7,71.8,61.38,11.8,Average Learner,Fast Learner
S0021,2,73.5,93.2,80.5,83.2,91.4,97.9,86.62,19.7,Fast Learner,Fast Learner
S0021,3,88.4,75,73.5,96,74.8,84.1,81.97,-13.4,Fast Learner,Fast Learner
S0021,4,61.3,60.4,64.1,62.3,65.8,56.1,61.67,-0.9,Average Learner,Average Learner
S0021,5,58.5,50.9,60.1,54.6,56,68.1,58.03,-7.6,Average Learner,Average Learner
S0021,6,21.3,41.1,43.8,33.4,45.9,36.7,37.03,19.8,Slow Learner,Average Learner
S0022,1,38.9,22,31.6,43.1,26.4,26.5,31.42,-16.9,Slow Learner,Slow Learner
S0022,2,34.7,47.8,22.9,26.6,31.8,44.9,34.78,13.1,Slow Learner,Average Learner
S0022,3,29.9,24.2,29.1,51.4,32.6,28.3,32.58,-5.7,Slow Learner,Slow Learner
S0022,4,30.8,37.2,26.8,40.4,36.8,32.6,34.1,6.4,Slow Learner,Average Learner
S0022,5,49.3,32.6,26.8,25,20.9,43.6,33.03,-16.7,Slow Learner,Slow Learner
S0022,6,26.5,41.5,24.1,23.7,44.5,40.9,33.53,15,Slow Learner,Average Learner
S0023,1,20.5,45,24,45.5,39.7,47,36.95,24.5,Slow Learner,Average Learner
S0023,2,37,35.9,40.8,39.3,38.3,35.9,37.87,-1.1,Slow Learner,Slow Learner
S0023,3,48.1,43.8,40.8,42.1,31.8,48.4,42.5,-4.3,Slow Learner,Slow Learner
S0023,4,27.5,27.3,25.6,22.4,33,24.9,26.78,-0.2,Slow Learner,Slow Learner
S0023,5,25,32,42.8,20.5,27.9,33.6,30.3,7,Slow Learner,Average Learner
S0023,6,54,28.5,50.4,51.6,20.6,32.9,39.67,-25.5,Slow Learner,Slow Learner
S0024,1,52.9,60.5,49.8,62.5,60.4,65.8,58.65,7.6,Average Learner,Average Learner
S0024,2,59.1,64.2,52.4,62.1,50.2,70.5,59.75,5.1,Average Learner,Average Learner
S0024,3,65,55.8,59.1,57.3,62.3,61.8,60.22,-9.2,Average Learner,Average Learner
S0024,4,51,71.1,47.6,68.6,63.2,59.1,60.1,20.1,Average Learner,Fast Learner
S0024,5,66.6,62,67.6,51.2,65.4,61.7,62.42,-4.6,Average Learner,Average Learner
S0024,6,92.7,68.3,86.2,90.2,90.3,74.9,83.77,-24.4,Fast Learner,Fast Learner
S0025,1,26.9,28.7,27.9,22,34.7,43.4,30.6,1.8,Slow Learner,Slow Learner
S0025,2,43.6,22.8,49,47.4,46.9,47.5,42.87,-20.8,Slow Learner,Slow Learner
S0025,3,21.6,33.8,50.3,40.1,37,29.2,35.33,12.2,Slow Learner,Average Learner
S0025,4,44.1,32.7,33.9,38.5,49,22.1,36.72,-11.4,Slow Learner,Slow Learner
S0025,5,34.6,48,21.7,42.4,31.6,41.8,36.68,13.4,Slow Learner,Average Learner
S0025,6,67.6,64.6,50,54.2,57,55.4,58.13,-3,Average Learner,Average Learner
S0026,1,97.4,98.6,79.8,80.6,85.2,98.2,89.97,1.2,Fast Learner,Fast Learner
S0026,2,51.3,59,63,61.3,52.4,69.1,59.35,7.7,Average Learner,Average Learner
S0026,3,61.8,53.4,65.8,53.6,49.2,50,55.63,-8.4,Average Learner,Average Learner
S0026,4,52.1,69.9,52.6,54.4,50,52.1,55.18,17.8,Average Learner,Fast Learner
S0026,5,72,63.8,59.8,58,57.9,62.8,62.38,-8.2,Average Learner,Average Learner
S0026,6,61.7,49.4,62,52.7,54.7,51.5,55.33,-12.3,Average Learner,Average Learner
S0027,1,48.4,67,49.7,59.4,61.5,63.1,58.18,18.6,Average Learner,Fast Learner
S0027,2,55.7,48.2,64.6,62.3,67.8,66.2,60.8,-7.5,Average Learner,Average Learner
S0027,3,83.1,68.2,82.2,87.9,71.6,80.1,78.85,-14.9,Fast Learner,Fast Learner
S0027,4,97.3,83.3,83.3,100,77.5,99.3,90.12,-14,Fast Learner,Fast Learner
S0027,5,82.7,70.8,81.1,95.9,79.5,92.8,83.8,-11.9,Fast Learner,Fast Learner
S0027,6,80.5,85,86.7,80,91.1,92,85.88,4.5,Fast Learner,Fast Learner
S0028,1,51.8,54.2,62.5,58.4,66.6,68.5,60.33,2.4,Average Learner,Average Learner
S0028,2,64.7,55.8,59.7,66.9,58.3,63.3,61.45,-8.9,Average Learner,Average Learner
S0028,3,62.3,51.4,59.3,60,69.7,58.5,60.2,-10.9,Average Learner,Average Learner
S0028,4,92.2,77.8,86.4,76,90.8,93.8,86.17,-14.4,Fast Learner,Fast Learner
S0028,5,68.7,78.6,70.2,98.3,79.2,85.9,80.15,9.9,Fast Learner,Fast Learner
S0028,6,70,70.2,67.4,55.2,63.3,51.3,62.9,0.2,Average Learner,Average Learner
S0029,1,61.7,55.3,55.6,71.1,69.4,68.4,63.58,-6.4,Average Learner,Average Learner
S0029,2,49.3,49,53.7,48.4,46,72.1,53.08,-0.3,Average Learner,Average Learner
S0029,3,55.9,57.8,50,65.1,65,63.6,59.57,1.9,Average Learner,Average Learner
S0029,4,65.3,59.3,60.8,61.5,68,60.8,62.62,-6,Average Learner,Average Learner
S0029,5,70.5,64.3,50.8,63,70,47.5,61.02,-6.2,Average Learner,Average Learner
S0029,6,58.6,70.6,50.3,66.4,49.3,54.3,58.25,12,Average Learner,Fast Learner
S0030,1,87.2,78.3,97.6,87.5,87.8,80.6,86.5,-8.9,Fast Learner,Fast Learner
S0030,2,71.7,81.3,74.3,90.1,95,97.6,85,9.6,Fast Learner,Fast Learner
S0030,3,93.9,100,68.8,96.1,86.6,100,90.9,6.1,Fast Learner,Fast Learner
S0030,4,94.3,98,71.4,79.7,70.5,74.6,81.42,3.7,Fast Learner,Fast Learner
S0030,5,65.3,69.9,56.8,53.5,66.5,56.7,61.45,4.6,Average Learner,Average Learner
S0030,6,51,67.3,50.6,56.5,70.2,50,57.6,16.3,Average Learner,Fast Learner
S0031,1,85.2,74.3,88.7,78.2,84.6,72.5,80.58,-10.9,Fast Learner,Fast Learner
S0031,2,79.6,95.5,73,84.3,82.9,91.9,84.53,15.9,Fast Learner,Fast Learner
S0031,3,99.6,96.6,82.8,75.2,86.4,91.8,88.73,-3,Fast Learner,Fast Learner
S0031,4,83.9,93.3,73.7,76.6,97.2,75.5,83.37,9.4,Fast Learner,Fast Learner
S0031,5,88.3,75.8,86.1,77.6,80.6,76.9,80.88,-12.5,Fast Learner,Fast Learner
S0031,6,82.7,92.4,81.9,71.3,85.4,97.1,85.13,9.7,Fast Learner,Fast Learner
S0032,1,54.3,48,68.9,67,63.1,66,61.22,-6.3,Average Learner,Average Learner
S0032,2,58,55,49,61.6,69.9,48.8,57.05,-3,Average Learner,Average Learner
S0032,3,51.2,61.3,56.7,60.1,70.6,65.7,60.93,10.1,Average Learner,Fast Learner
S0032,4,63,69.6,61.9,58.4,46.9,48.6,58.07,6.6,Average Learner,Average Learner
S0032,5,48.6,66.8,50.2,63.8,52.9,53.5,55.97,18.2,Average Learner,Fast Learner
S0032,6,65.8,61.7,71.6,56,48.8,46.2,58.35,-4.1,Average Learner,Average Learner
S0033,1,71.2,89.1,87.9,89.6,75.8,78.9,82.08,17.9,Fast Learner,Fast Learner
S0033,2,88.8,85.4,79.8,97.1,81.6,82.6,85.88,-3.4,Fast Learner,Fast Learner
S0033,3,81.5,95.3,71.2,98.1,85,100,88.52,13.8,Fast Learner,Fast Learner
S0033,4,82.2,84.2,96.3,74.1,69.2,70,79.33,2,Fast Learner,Fast Learner
S0033,5,66.1,60.3,67.8,53,63.3,68.3,63.13,-5.8,Average Learner,Average Learner
S0033,6,68.7,63.4,70.9,66,53.3,60.3,63.77,-5.3,Average Learner,Average Learner
S0034,1,57.4,56.5,49.1,53.2,48.4,62,54.43,-0.9,Average Learner,Average Learner
S0034,2,66.9,59.4,66.1,55.9,59.4,70,62.95,-7.5,Average Learner,Average Learner
S0034,3,63.8,52.1,71.3,68.2,66,63.1,64.08,-11.7,Average Learner,Average Learner
S0034,4,56.3,64.8,48.9,65.4,56.1,51.8,57.22,8.5,Average Learner,Fast Learner
S0034,5,62.9,67.4,66.2,48.2,71.1,66.4,63.7,4.5,Average Learner,Average Learner
S0034,6,75.7,83.5,92.4,96.8,82.4,83.9,85.78,7.8,Fast Learner,Fast Learner
S0035,1,59.4,57.8,51.9,63.8,71.3,61.5,60.95,-1.6,Average Learner,Average Learner
S0035,2,47.6,57.3,51,62.2,72.1,65.4,59.27,9.7,Average Learner,Fast Learner
S0035,3,57.7,52.1,50,55,56.3,65.8,56.15,-5.6,Average Learner,Average Learner
S0035,4,59.2,54.2,67.8,63.2,55.6,62.1,60.35,-5,Average Learner,Average Learner
S0035,5,64.2,59.2,64.4,62.3,64.5,59.9,62.42,-5,Average Learner,Average Learner
S0035,6,56.2,70.3,53.2,66,58.5,58,60.37,14.1,Average Learner,Fast Learner
S0036,1,79.7,77,76.3,95.7,94.6,83.2,84.42,-2.7,Fast Learner,Fast Learner
S0036,2,81.3,88.2,82.7,92,97.8,77.6,86.6,6.9,Fast Learner,Fast Learner
S0036,3,86.3,98.6,94.2,73.1,88.4,81.1,86.95,12.3,Fast Learner,Fast Learner
S0036,4,78.9,71.2,76,92.7,100,77.8,82.77,-7.7,Fast Learner,Fast Learner
S0036,5,69.1,96.7,91.3,98.7,91.1,77.3,87.37,27.6,Fast Learner,Fast Learner
S0036,6,86.6,90.9,72.6,84.5,74.7,70.8,80.02,4.3,Fast Learner,Fast Learner
S0037,1,26.2,21.6,40,29.2,29,30.6,29.43,-4.6,Slow Learner,Slow Learner
S0037,2,46.5,42.9,42.3,37.5,42.4,38.8,41.73,-3.6,Slow Learner,Slow Learner
S0037,3,34.5,22.8,27.8,45.7,37.9,29.9,33.1,-11.7,Slow Learner,Slow Learner
S0037,4,21.7,38.6,48.8,45.5,22.5,35.2,35.38,16.9,Slow Learner,Average Learner
S0037,5,50,58.7,60.8,53.1,53.3,56.1,55.33,8.7,Average Learner,Fast Learner
S0037,6,61.8,62.2,58.1,64,48.7,57.1,58.65,0.4,Average Learner,Average Learner
S0038,1,59.8,52.7,63.7,66.7,67,62.5,62.07,-7.1,Average Learner,Average Learner
S0038,2,51.3,57,51.5,68.8,48.8,51.1,54.75,5.7,Average Learner,Average Learner
S0038,3,47.2,59.9,69.3,54,64.8,61.8,59.5,12.7,Average Learner,Fast Learner
S0038,4,34.2,47.5,31.3,34.5,20.7,21,31.53,13.3,Slow Learner,Average Learner
S0038,5,41.2,48.8,19.6,49,37.7,40,39.38,7.6,Slow Learner,Average Learner
S0038,6,26,43.7,30.2,39,41.4,46.4,37.78,17.7,Slow Learner,Average Learner
S0039,1,53.2,63.9,63.2,62.2,48.4,65.5,59.4,10.7,Average Learner,Fast Learner
S0039,2,66,62.1,54.3,50.8,51.4,69.3,58.98,-3.9,Average Learner,Average Learner
S0039,3,49.7,67.3,56.9,54.2,46.3,61.2,55.93,17.6,Average Learner,Fast Learner
S0039,4,61,59.7,53.5,50.4,57.4,52.7,55.78,-1.3,Average Learner,Average Learner
S0039,5,66.6,54.1,56,55.9,64.5,65.3,60.4,-12.5,Average Learner,Average Learner
S0039,6,63.8,67.9,59.7,66.1,64.5,51,62.17,4.1,Average Learner,Average Learner
S0040,1,98.9,73.2,84.4,87.6,86.2,72.6,83.82,-25.7,Fast Learner,Fast Learner
S0040,2,71,87.6,87.2,75.8,88.2,95.1,84.15,16.6,Fast Learner,Fast Learner
S0040,3,65.9,63,65.8,56.1,65.4,56.9,62.18,-2.9,Average Learner,Average Learner
S0040,4,50.6,66.2,64.4,58,63,55.7,59.65,15.6,Average Learner,Fast Learner
S0040,5,72,59.5,49.3,55.4,59.7,50,57.65,-12.5,Average Learner,Average Learner
S0040,6,69.6,89.5,86.7,82.3,80.4,82.5,81.83,19.9,Fast Learner,Fast Learner
S0041,1,73.3,96,78.9,74.9,90.3,71.1,80.75,22.7,Fast Learner,Fast Learner
S0041,2,89.8,75.5,71.4,81.8,73.4,71.8,77.28,-14.3,Fast Learner,Fast Learner
S0041,3,95.5,86.6,96.1,79.7,87.5,87.1,88.75,-8.9,Fast Learner,Fast Learner
S0041,4,55.8,54.9,53.2,65.7,55.6,71.3,59.42,-0.9,Average Learner,Average Learner
S0041,5,39.5,36.9,44.9,48.7,20.4,52.1,40.42,-2.6,Slow Learner,Slow Learner
S0041,6,19.6,40.7,50.4,32.7,26.2,35.6,34.2,21.1,Slow Learner,Average Learner
S0042,1,46.4,40.2,45.1,39.2,33.3,50.7,42.48,-6.2,Slow Learner,Slow Learner
S0042,2,39.9,28.3,40.1,37,26.7,19.9,31.98,-11.6,Slow Learner,Slow Learner
S0042,3,25.3,25.8,25.9,34,19.9,32.8,27.28,0.5,Slow Learner,Slow Learner
S0042,4,20.1,36.4,35.9,46.6,38.1,51.4,38.08,16.3,Slow Learner,Average Learner
S0042,5,48.5,47,28.3,21.8,27.8,24.9,33.05,-1.5,Slow Learner,Slow Learner
S0042,6,52.1,56.7,61.3,49.4,45.8,63.3,54.77,4.6,Average Learner,Average Learner
S0043,1,73,98.7,88,91.9,79.5,81.8,85.48,25.7,Fast Learner,Fast Learner
S0043,2,74.9,73.3,92.9,89.6,87.8,86.6,84.18,-1.6,Fast Learner,Fast Learner
S0043,3,94.7,96.4,75.9,83.1,81.9,99.7,88.62,1.7,Fast Learner,Fast Learner
S0043,4,94.4,95.5,71.9,93.1,72.4,83.3,85.1,1.1,Fast Learner,Fast Learner
S0043,5,72.6,74.1,99.3,96.3,96.8,99.1,89.7,1.5,Fast Learner,Fast Learner
S0043,6,88.4,72.6,83.5,87.9,87.4,75.2,82.5,-15.8,Fast Learner,Fast Learner
S0044,1,87,93.9,92.1,88.3,84.6,74,86.65,6.9,Fast Learner,Fast Learner
S0044,2,81.5,89.1,83.1,79.1,72.3,83.3,81.4,7.6,Fast Learner,Fast Learner
S0044,3,71.3,86.5,88.3,82.6,87.5,97.4,85.6,15.2,Fast Learner,Fast Learner
S0044,4,81.4,91.3,96.5,87.4,75.8,77.7,85.02,9.9,Fast Learner,Fast Learner
S0044,5,72,74.1,72.8,86.3,77.2,79.9,77.05,2.1,Fast Learner,Fast Learner
S0044,6,49.3,53.8,71.7,60.1,60.5,65.7,60.18,4.5,Average Learner,Average Learner
S0045,1,27.4,48.7,28.2,27.1,24.4,47.5,33.88,21.3,Slow Learner,Average Learner
S0045,2,40.2,29.9,45,46.4,29.1,34.5,37.52,-10.3,Slow Learner,Slow Learner
S0045,3,65,69.8,57.5,50.2,63.8,66.2,62.08,4.8,Average Learner,Average Learner
S0045,4,53,58.9,56.4,54.4,65.3,72,60,5.9,Average Learner,Average Learner
S0045,5,57.6,51.3,58.7,52.3,55.7,56.9,55.42,-6.3,Average Learner,Average Learner
S0045,6,64.6,68.9,63.5,57.4,61.7,61.8,62.98,4.3,Average Learner,Average Learner
S0046,1,64.4,53.7,70.6,68.9,54.9,66.8,63.22,-10.7,Average Learner,Average Learner
S0046,2,89,93.3,90.2,79.2,95.6,73.5,86.8,4.3,Fast Learner,Fast Learner
S0046,3,88,77.3,92.6,83.4,89.8,84.6,85.95,-10.7,Fast Learner,Fast Learner
S0046,4,78.7,98.6,92.6,74,81.1,95.4,86.73,19.9,Fast Learner,Fast Learner
S0046,5,57.4,66,56.7,50.6,48.4,60.8,56.65,8.6,Average Learner,Fast Learner
S0046,6,75.4,82.6,71.7,81.5,85.7,85.4,80.38,7.2,Fast Learner,Fast Learner
